修复神水	0	76	0	0	184	0	-1	0	-1	1	0	200000
护身符(大)	2	37	0	0	0	0	-1	0	-1	0	0	50000
黄色药粉(大量)	2	10	0	0	0	0	-1	1	-1	0	0	50000
灰色药粉(大量)	2	8	0	0	0	0	-1	1	-1	0	0	50000
强效太阳水	0	24	0	0	0	0	-1	0	-1	0	0	2500
金条	3	26	0	0	0	0	-1	0	-1	0	0	1000000
特制梳子	2	78	0	0	0	0	-1	0	-1	0	0	100000
超级灰色药粉	0	87	0	0	0	0	-1	0	-1	0	0	200000
超级黄色药粉	0	88	0	0	0	0	-1	0	-1	0	0	200000
超级护身符	0	89	0	0	0	0	-1	0	-1	0	0	200000
双倍秘籍	2	90	0	0	0	0	-1	0	-1	1	0	500000
千里传音(大)	2	77	0	0	184	0	-1	0	-1	1	0	500000
超级祝福油	1	133	0	0	184	0	-1	0	-1	1	0	1000000
金砖	3	27	0	0	0	0	-1	0	-1	0	0	5000000
金盒	3	28	0	0	0	0	-1	0	-1	0	0	10000000
苹果	1	36	0	0	0	0	-1	0	-1	0	0	10000
随机传送石	0	85	0	0	0	0	-1	0	-1	0	0	50000
祝福宝石	1	161	0	0	0	0	-1	0	-1	0	0	50000
灵魂宝石	1	162	0	0	0	0	-1	0	-1	0	0	100000
生命宝石	1	163	0	0	0	0	-1	0	-1	0	0	200000
玛雅宝石	1	164	0	0	0	0	-1	0	-1	0	0	500000
便携背包	1	160	0	0	0	0	-1	0	-1	0	0	1000000
洗练符	1	282	0	0	0	0	-1	0	-1	0	0	500000
翘石针	1	279	0	0	0	0	-1	0	-1	0	0	500000
记忆石	1	131	0	0	0	0	-1	0	-1	0	0	1000000
坐标传送石	0	86	0	0	0	0	-1	2	-1	0	0	1
